HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Fiorentina,Cremonese,1,0,22,6,8,2,7,3,1,2,0,0
Verona,Torino,0,3,7,21,3,5,4,7,0,2,0,0
Inter,Bologna,3,1,19,6,10,2,7,1,3,3,0,0
Pisa,Como,0,3,10,15,4,7,1,5,2,2,0,0
Lecce,Roma,0,2,6,10,1,3,2,2,3,1,0,0
Sassuolo,Juventus,0,3,7,17,2,10,5,5,0,0,0,0
Bologna,Atalanta,0,2,11,11,2,5,6,6,0,0,0,0
Napoli,Verona,2,2,15,11,4,4,6,1,0,3,0,0
Lazio,Fiorentina,2,2,17,8,9,5,8,2,3,5,0,0
Parma,Inter,0,2,4,26,0,8,1,3,0,3,0,0
Torino,Udinese,1,2,10,9,4,4,3,6,2,1,0,0
Cremonese,Cagliari,2,2,12,21,5,5,2,4,2,2,0,0
Milan,Genoa,1,1,32,7,8,2,12,1,4,1,0,0
Como,Bologna,1,1,12,7,3,2,4,2,3,3,0,1
Udinese,Pisa,2,2,11,14,2,7,3,8,1,4,0,0
Roma,Sassuolo,2,0,26,5,6,3,5,2,2,2,0,0
Atalanta,Torino,2,0,18,10,5,3,5,4,1,2,0,0
Lecce,Parma,1,2,10,12,1,2,3,3,3,1,2,0
Fiorentina,Milan,1,1,20,13,7,3,8,5,2,3,0,0
Verona,Lazio,0,1,10,11,2,2,2,1,2,1,0,0
Inter,Napoli,2,2,13,7,4,3,4,1,0,1,0,0
Genoa,Cagliari,3,0,11,15,7,3,2,3,2,5,0,0
Juventus,Cremonese,5,0,18,9,11,2,4,5,0,1,0,0
Napoli,Parma,0,0,16,4,4,1,7,1,1,3,0,0
Inter,Lecce,1,0,21,10,7,1,11,3,2,1,0,0
Verona,Bologna,2,3,15,14,5,5,4,5,1,2,0,0
Como,Milan,1,3,18,7,8,4,8,4,1,0,0,0
Pisa,Atalanta,1,1,14,9,6,4,10,1,1,2,0,0
Udinese,Inter,0,1,5,14,1,5,2,5,0,1,0,0
Napoli,Sassuolo,1,0,11,21,4,4,5,4,0,3,0,0
Cagliari,Juventus,1,0,3,21,1,5,1,18,0,1,0,0
Parma,Genoa,0,0,14,11,2,3,7,3,3,2,0,0
Bologna,Fiorentina,1,2,18,11,3,4,7,1,3,0,0,0
Torino,Roma,0,2,8,14,4,5,2,1,2,1,0,0
Milan,Lecce,1,0,20,4,6,0,10,2,1,1,0,0
Cremonese,Verona,0,0,7,11,1,4,3,6,3,0,0,0
Lazio,Como,0,3,8,11,4,6,3,2,4,3,0,0
Inter,Pisa,6,2,34,8,14,3,7,5,2,3,0,0
Como,Torino,6,0,17,7,7,1,2,1,0,1,0,0
Fiorentina,Cagliari,1,2,15,10,3,6,8,3,2,3,0,0
