HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Vallecano,Mallorca,2,1,14,9,5,2,6,5,1,5,1,0
Levante,Espanol,1,1,8,19,2,3,4,3,0,1,0,0
Sevilla,Celta,0,1,7,9,2,7,6,1,3,3,0,0
Espanol,Girona,0,2,14,7,2,4,5,4,5,5,0,0
Real Madrid,Levante,2,0,26,10,11,0,8,0,2,1,0,0
Mallorca,Ath Bilbao,3,2,18,21,9,11,3,7,1,5,0,2
Osasuna,Oviedo,3,2,16,13,5,5,3,6,1,4,1,0
Betis,Villarreal,2,0,15,9,6,3,2,3,3,2,0,1
Getafe,Valencia,0,1,14,7,3,1,9,3,2,3,0,1
Ath Madrid,Alaves,1,0,23,8,6,0,6,6,1,1,0,0
Celta,Vallecano,3,0,11,14,7,3,5,7,4,3,0,1
Sociedad,Barcelona,2,1,8,25,6,9,6,8,3,3,1,0
Elche,Sevilla,2,2,10,25,5,8,9,7,3,1,0,0
Levante,Elche,3,2,26,6,6,3,9,1,2,3,0,0
Vallecano,Osasuna,1,3,11,14,4,5,4,3,2,2,0,0
Valencia,Espanol,3,2,10,16,5,6,2,7,1,5,0,0
Sevilla,Ath Bilbao,2,1,10,15,7,3,5,5,2,1,0,0
Villarreal,Real Madrid,0,2,8,14,1,4,6,6,3,1,0,0
Ath Madrid,Mallorca,3,0,17,6,8,1,10,3,2,1,0,0
Barcelona,Oviedo,3,0,15,12,7,3,10,1,1,2,0,0
Sociedad,Celta,3,1,10,17,4,4,2,9,1,1,1,0
Alaves,Betis,2,1,17,18,9,4,6,4,1,1,0,0
Girona,Getafe,1,1,12,8,4,2,3,4,5,3,0,0
Espanol,Alaves,1,2,10,11,3,7,4,2,0,1,0,0
Oviedo,Girona,1,0,8,9,4,1,4,4,1,1,0,0
Osasuna,Villarreal,2,2,15,5,5,4,6,2,2,2,0,0
Levante,Ath Madrid,0,0,10,10,2,4,4,7,2,1,0,0
Elche,Barcelona,1,3,9,30,3,8,2,8,2,1,0,0
Real Madrid,Vallecano,2,1,16,11,6,4,9,4,2,8,0,2
Betis,Valencia,2,1,14,15,2,4,3,5,0,4,0,0
Getafe,Celta,0,0,9,5,2,1,5,3,1,2,0,0
Ath Bilbao,Sociedad,1,1,19,9,4,6,6,3,4,2,0,1
